Title,Genre,Release Year,Platform,Developer,Publisher,Rating
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
Super Mario Maker 2,Platformer,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Tennis Aces,Sports,2018,Nintendo Switch,Camelot Software Planning,Nintendo,8/10
Ring Fit Adventure,Fitness,2019,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Donkey Kong Country: Tropical Freeze,Platformer,2018,Nintendo Switch,Retro Studios,Nintendo,9/10
The Legend of Zelda: Skyward Sword HD,Action-Adventure,2021,Nintendo Switch,Tantalus Media, Nintendo,8/10
Xenoblade Chronicles 2,Action RPG,2017,Nintendo Switch,Monolith Soft,Nintendo,9/10
Paper Mario: The Origami King,RPG,2020,Nintendo Switch,Intelligent Systems,Nintendo,8.5/10
Hyrule Warriors: Age of Calamity,Action,2020,Nintendo Switch,Koei Tecmo,Nintendo,8/10
Octopath Traveler,Role-Playing,2018,Nintendo Switch,Acquire, Square Enix,8.5/10
Mario & Sonic at the Olympic Games Tokyo 2020,Sports,2019,Nintendo Switch,Sonic Team, Sega,8/10
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017,Nintendo Switch,Nintendo EPD,Nintendo,10/10
Super Mario Odyssey,Platformer,2017,Nintendo Switch,Nintendo EPD,Nintendo,9.5/10
Animal Crossing: New Horizons,Life Simulation,2020,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Mario Kart 8 Deluxe,Racing,2017,Nintendo Switch,Nintendo EPD,Nintendo,9/10
Super Smash Bros. Ultimate,Fighting,2018,Nintendo Switch,Bandai Namco Studios,Nintendo,9.5/10
Pokemon Sword & Shield,RPG,2019,Nintendo Switch,Game Freak,Nintendo,8.5/10
Splatoon 2,Third-Person Shooter,2017,Nintendo Switch,Nintendo EPD,Nintendo,8.5/10
The Legend of Zelda: Link's Awakening,Action-Adventure,2019,Nintendo Switch,Grezzo,Nintendo,9/10
Fire Emblem: Three Houses,Turn-Based Strategy,2019,Nintendo Switch,Intelligent Systems,Nintendo,9/10
Luigi's Mansion 3,Action-Adventure,2019,Nintendo Switch,Next Level Games,Nintendo,8.5/10
